student_email,course,grade
student1@cstugpt.com, GenAI, A+
student1@cstugpt.com, Data Visualization, A
student1@cstugpt.com, SQL Data Engineering, B+
student2@cstugpt.com, AI Application, A+
student2@cstugpt.com, DevOps, A
student3@cstugpt.com, Python for AI, A+
student3@cstugpt.com, DevOps, A
student1@cstugpt.com, GenAI, A+
student1@cstugpt.com, Data Visualization, A
student1@cstugpt.com, SQL Data Engineering, B+
student2@cstugpt.com, GenAI, A+
student2@cstugpt.com, DevOps, A
student3@cstugpt.com, Python for AI, A+
student3@cstugpt.com, Big Data, A
